project;version;from;to;days;commits;commitsPerDay;accumulated_commits;committers;committers_weigth;changes;additions;deletions;changed_files;bugs;code_smells;cognitive_complexity;critical_violations;complexity;duplicated_blocks;duplicated_files;duplicated_lines;duplicated_lines_density;info_violations;violations;major_violations;minor_violations;open_issues;statements;;
monica;master;2019-12-31T19:36:10+0100;2020-03-02T20:53:02+0100;63;115;18.254;1640;8;0.0151;20515;13512;7003;517;41;145;2331;5;4386;36;25;1237;1.7;7;186;117;57;186;12265;;
monica;2.16.0;2019-11-12T23:30:52+0100;2019-12-31T19:36:10+0100;49;137;2.796;1525;17;0.0091;31230;17081;14149;656;37;89;2083;5;4032;32;21;1118;1.7;8;126;66;47;125;11306;;
monica;2.15.2;2019-09-24T23:52:35+0200;2019-11-12T23:30:52+0100;50;96;1.92;1388;13;0.0153;17315;10801;6514;401;42;85;2043;4;3904;29;20;1006;1.5;8;128;64;52;127;11003;;
monica;2.15.1;2019-09-22T14:21:12+0200;2019-09-24T23:52:35+0200;3;5;16.667;1292;1;1.0;54;31;23;9;90;110;2027;5;3816;27;19;742;1.1;4;200;101;90;199;10761;;
monica;2.15.0;2019-04-07T23:10:28+0200;2019-09-22T14:21:12+0200;168;266;15.834;1287;21;0.0059;36091;25289;10802;625;90;110;2028;5;3817;27;19;742;1.1;4;200;101;90;199;10760;;
monica;2.13.0;2019-03-09T20:12:12+0100;2019-04-07T23:10:28+0200;30;43;14.334;1021;10;0.0287;7635;5264;2371;208;45;151;1860;3;3487;27;18;748;0.8;3;196;140;50;194;9880;;
monica;2.12.1;2019-02-09T15:53:30+0100;2019-03-09T20:12:12+0100;29;47;16.207;978;10;0.0351;10587;6381;4206;207;46;151;1848;3;3459;29;19;750;0.8;3;197;140;51;195;9837;;
monica;2.12.0;2019-01-01T16:25:26+0100;2019-02-09T15:53:30+0100;39;106;2.718;931;12;0.0132;222248;114046;108202;742;46;151;1860;3;3471;31;21;876;1.0;3;197;140;51;195;9840;;
monica;2.11.2;2018-12-26T15:40:14+0100;2019-01-01T16:25:26+0100;7;8;11.429;825;3;0.2206;748;710;38;15;46;127;1785;3;3318;29;18;732;0.7;3;173;112;55;170;9677;;
monica;2.11.1;2018-12-23T20:04:53+0100;2018-12-26T15:40:14+0100;3;16;53.334;817;3;0.1468;18402;11734;6668;204;46;127;1762;3;3295;29;18;732;0.7;3;173;112;55;170;9620;;
monica;2.11.0;2018-11-15T03:08:27+0100;2018-12-23T20:04:53+0100;39;72;18.462;801;16;0.0199;26465;19116;7349;361;47;127;1743;3;3274;29;18;731;0.7;3;174;112;56;171;9434;;
monica;2.10.2;2018-11-13T15:56:32+0100;2018-11-15T03:08:27+0100;2;6;3.0;729;3;0.2728;184;126;58;20;49;228;1691;9;3035;29;14;595;0.8;101;284;115;59;279;8752;;
